season_end_year,fbref_player_id,fbref_squad,player,minutes,file,column,value,kaggle_column
2023,ebeb2c4a,Girona,Casals,84,big5_player_possession,CPA_Carries,2.0,carries penalty area
2023,ebeb2c4a,Girona,Casals,84,big5_player_possession,Def Pen_Touches,2.0,touches_def_pen
2023,ebeb2c4a,Girona,Casals,84,big5_player_possession,Dis_Carries,2.0,Possessions lost
2023,ebeb2c4a,Girona,Casals,84,big5_player_possession,Final_Third_Carries,2.0,carries final 3rd
2023,ebeb2c4a,Girona,Casals,84,big5_player_possession,PrgC_Carries,3.0,carries_prgc
2023,ebeb2c4a,Girona,Casals,84,big5_player_possession,Succ_percent_Take,35.7,% Successful take-ons
2023,ebeb2c4a,Girona,Casals,84,big5_player_shooting,npxG_Expected,0.3,Exp NPG
2023,ebeb2c4a,Girona,Casals,84,big5_player_shooting,xG_Expected,0.3,Expected Goals
2023,ebeb2c4a,Girona,Casals,84,big5_player_standard,PrgC_Progression,3.0,Progressive Carries
2023,ebeb2c4a,Girona,Casals,84,big5_player_standard,PrgP_Progression,0.0,Progressive Passes
2023,ebeb2c4a,Girona,Casals,84,big5_player_standard,npxG_Expected,0.3,Exp NPG
2023,ebeb2c4a,Girona,Casals,84,big5_player_standard,xG_Expected,0.3,Expected Goals
2023,ac4a4508,Lecce,Gabriel Strefezza,2442,big5_player_defense,Clr,15.0,Clearances
2023,ac4a4508,Lecce,Gabriel Strefezza,2442,big5_player_defense,Err,0.0,Errors made
2023,ac4a4508,Lecce,Gabriel Strefezza,2442,big5_player_defense,Pass_Blocks,33.0,Passes blocked
2023,ac4a4508,Lecce,Gabriel Strefezza,2442,big5_player_defense,Sh_Blocks,3.0,Shots blocked
2023,ac4a4508,Lecce,Gabriel Strefezza,2442,big5_player_defense,Tkl_Tackles,50.0,Tackles attempted
2023,ac4a4508,Lecce,Gabriel Strefezza,2442,big5_player_misc,Won_percent_Aerial,26.2,% Aerial Duels won
2023,ac4a4508,Lecce,Gabriel Strefezza,2442,big5_player_possession,Att_Take,92.0,Take ons attempted
2023,ac4a4508,Lecce,Gabriel Strefezza,2442,big5_player_possession,CPA_Carries,19.0,carries penalty area
2023,ac4a4508,Lecce,Gabriel Strefezza,2442,big5_player_possession,Def Pen_Touches,14.0,touches_def_pen
2023,ac4a4508,Lecce,Gabriel Strefezza,2442,big5_player_possession,Dis_Carries,69.0,Possessions lost
2023,ac4a4508,Lecce,Gabriel Strefezza,2442,big5_player_possession,Final_Third_Carries,58.0,carries final 3rd
2023,ac4a4508,Lecce,Gabriel Strefezza,2442,big5_player_possession,PrgC_Carries,72.0,carries_prgc
2023,ac4a4508,Lecce,Gabriel Strefezza,2442,big5_player_possession,Succ_percent_Take,39.1,% Successful take-ons
2023,ac4a4508,Lecce,Gabriel Strefezza,2442,big5_player_shooting,npxG_Expected,3.9,Exp NPG
2023,ac4a4508,Lecce,Gabriel Strefezza,2442,big5_player_shooting,xG_Expected,6.2,Expected Goals
2023,ac4a4508,Lecce,Gabriel Strefezza,2442,big5_player_standard,PrgC_Progression,72.0,Progressive Carries
2023,ac4a4508,Lecce,Gabriel Strefezza,2442,big5_player_standard,PrgP_Progression,107.0,Progressive Passes
2023,ac4a4508,Lecce,Gabriel Strefezza,2442,big5_player_standard,npxG_Expected,3.9,Exp NPG
2023,ac4a4508,Lecce,Gabriel Strefezza,2442,big5_player_standard,xG_Expected,6.2,Expected Goals
